Time,Queue Size,Event
Time,Queue Size,Event
0,1,size
0.0008,0,size
0.0424,1,size
0.04240000000000001,0,size
0.27120000000000005,1,size
0.2712000000000001,0,size
Time,Queue Size,Event
0,1,size
0,2,size
0,3,size
0,4,size
0.0008,3,size
0.0016,2,size
0.0024000000000000002,1,size
0.0032,0,size
0.0232,1,size
0.023200000000000002,0,size
0.0424,1,size
0.04240000000000001,0,size
0.044000000000000004,1,size
0.04400000000000001,0,size
0.0448,1,size
0.04480000000000001,0,size
0.25200000000000006,1,size
0.2520000000000001,0,size
0.2528000000000001,1,size
0.25280000000000014,0,size
0.27120000000000005,1,size
0.2712000000000001,0,size
0.2720000000000001,1,size
0.27200000000000013,0,size
0.2728000000000001,1,size
0.27280000000000015,0,size
0.2736000000000001,1,size
0.2736000000000002,0,size
Time,Queue Size,Event
0,1,size
0,2,size
0,3,size
0,4,size
0,5,size
0,6,size
0,7,size
0,8,size
0,9,size
0.0008,8,size
0.0016,7,size
0.0024000000000000002,6,size
0.0032,5,size
0.004,4,size
0.0048000000000000004,3,size
0.005600000000000001,2,size
0.006400000000000001,1,size
0.0072000000000000015,0,size
0.0232,1,size
0.023200000000000002,0,size
0.0424,1,size
0.04240000000000001,0,size
0.044000000000000004,1,size
0.04400000000000001,0,size
0.0448,1,size
0.04480000000000001,0,size
0.04560000000000001,1,size
0.045600000000000016,0,size
0.046400000000000004,1,size
0.04640000000000002,0,size
0.0472,1,size
0.04720000000000002,0,size
0.04800000000000001,1,size
0.04800000000000002,0,size
0.0488,1,size
0.048800000000000024,0,size
0.25200000000000006,1,size
0.2520000000000001,0,size
0.2528000000000001,1,size
0.25280000000000014,0,size
0.2536000000000001,1,size
0.25360000000000016,0,size
0.25440000000000007,1,size
0.2544000000000002,0,size
0.2552000000000001,1,size
0.2552000000000002,0,size
0.25600000000000006,1,size
0.2560000000000002,0,size
0.2568000000000001,1,size
0.25680000000000025,0,size
0.27120000000000005,1,size
0.2712000000000001,0,size
0.2720000000000001,1,size
0.27200000000000013,0,size
0.2728000000000001,1,size
0.27280000000000015,0,size
0.2736000000000001,1,size
0.2736000000000002,0,size
0.27440000000000014,1,size
0.2744000000000002,0,size
0.27520000000000017,1,size
0.2752000000000002,0,size
0.2760000000000002,1,size
0.27600000000000025,0,size
0.2768000000000002,1,size
0.27680000000000027,0,size
0.27760000000000024,1,size
0.2776000000000003,0,size
Time,Queue Size,Event
0,1,size
0,2,size
0,3,size
0,4,size
0,5,size
0,6,size
0,7,size
0,8,size
0,9,size
0,10,size
0,10,drop
0,10,drop
0,10,drop
0,10,drop
0.0008,9,size
0.0016,8,size
0.0024000000000000002,7,size
0.0032,6,size
0.004,5,size
0.0048000000000000004,4,size
0.005600000000000001,3,size
0.006400000000000001,2,size
0.0072000000000000015,1,size
0.008000000000000002,0,size
0.0232,1,size
0.023200000000000002,0,size
1.0704,1,size
1.0704,2,size
1.0704,3,size
1.0704,4,size
1.0704,5,size
1.0704,6,size
1.0704,7,size
1.0704,8,size
1.0704,9,size
1.0704,10,size
1.0704,10,drop
1.0704,10,drop
1.0704,10,drop
1.0704,10,drop
1.0712,9,size
1.0719999999999998,8,size
1.0727999999999998,7,size
1.0735999999999997,6,size
1.0743999999999996,5,size
1.0751999999999995,4,size
1.0759999999999994,3,size
1.0767999999999993,2,size
1.0775999999999992,1,size
1.0783999999999991,0,size
1.0927999999999998,1,size
1.0927999999999998,2,size
1.0927999999999998,3,size
1.0927999999999998,4,size
1.0927999999999998,5,size
1.0927999999999998,6,size
1.0927999999999998,7,size
1.0927999999999998,8,size
1.0927999999999998,9,size
1.0927999999999998,10,size
1.0927999999999998,10,drop
1.0935999999999997,9,size
1.0943999999999996,8,size
1.0951999999999995,7,size
1.0959999999999994,6,size
1.0967999999999993,5,size
1.0975999999999992,4,size
1.0983999999999992,3,size
1.099199999999999,2,size
1.099999999999999,1,size
1.100799999999999,0,size
2.142399999999999,1,size
2.142399999999999,2,size
2.142399999999999,3,size
2.142399999999999,4,size
2.142399999999999,5,size
2.142399999999999,6,size
2.142399999999999,7,size
2.142399999999999,8,size
2.142399999999999,9,size
2.142399999999999,10,size
2.142399999999999,10,drop
2.142399999999999,10,drop
2.142399999999999,10,drop
2.142399999999999,10,drop
2.143199999999999,9,size
2.143999999999999,8,size
2.1447999999999987,7,size
2.1455999999999986,6,size
2.1463999999999985,5,size
2.1471999999999984,4,size
2.1479999999999984,3,size
2.1487999999999983,2,size
2.149599999999998,1,size
2.150399999999998,0,size
3.212799999999998,1,size
3.212799999999998,2,size
3.212799999999998,3,size
3.212799999999998,4,size
3.212799999999998,5,size
3.212799999999998,6,size
3.212799999999998,7,size
3.212799999999998,8,size
3.212799999999998,9,size
3.212799999999998,10,size
3.212799999999998,10,drop
3.212799999999998,10,drop
3.212799999999998,10,drop
3.212799999999998,10,drop
3.213599999999998,9,size
3.2143999999999977,8,size
3.2151999999999976,7,size
3.2159999999999975,6,size
3.2167999999999974,5,size
3.2175999999999974,4,size
3.2183999999999973,3,size
3.219199999999997,2,size
3.219999999999997,1,size
3.220799999999997,0,size
3.2351999999999976,1,size
3.2351999999999976,2,size
3.2351999999999976,3,size
3.2351999999999976,4,size
3.2351999999999976,5,size
3.2351999999999976,6,size
3.2351999999999976,7,size
3.2351999999999976,8,size
3.2351999999999976,9,size
3.2351999999999976,10,size
3.2351999999999976,10,drop
3.2359999999999975,9,size
3.2367999999999975,8,size
3.2375999999999974,7,size
3.2383999999999973,6,size
3.239199999999997,5,size
3.239999999999997,4,size
3.240799999999997,3,size
3.241599999999997,2,size
3.242399999999997,1,size
3.2431999999999968,0,size
4.284799999999996,1,size
4.284799999999996,2,size
4.284799999999996,3,size
4.284799999999996,4,size
4.284799999999996,5,size
4.284799999999996,6,size
4.284799999999996,7,size
4.284799999999996,8,size
4.284799999999996,9,size
4.284799999999996,10,size
4.284799999999996,10,drop
