Time,Sequence Number,Event
0,1,send
0,1001,send
0,2001,send
0,1,transmit
0.008,1001,transmit
0.010000000000000002,1001,ack
0.010000000000000002,3001,send
0.010000000000000002,4001,send
0.016,2001,transmit
0.018000000000000002,2001,ack
0.018000000000000002,5001,send
0.018000000000000002,6001,send
0.024,3001,transmit
0.026000000000000002,3001,ack
0.026000000000000002,7001,send
0.026000000000000002,8001,send
0.032,5001,transmit
0.04,6001,transmit
0.042,4001,ack
0.042,9001,send
0.048,8001,transmit
0.05,4001,ack
0.056,9001,transmit
0.058,4001,ack
0.066,4001,ack
1.066,4001,send
1.066,4001,transmit
2.066,4001,send
3.066,4001,send
4.066,4001,send
4.066,4001,transmit
4.0760000000000005,7001,ack
4.0760000000000005,7001,send
4.0760000000000005,8001,send
4.0760000000000005,7001,transmit
4.0840000000000005,8001,transmit
4.086000000000001,10001,ack
4.094000000000001,10001,ack
