Time,Queue Size,Event
0.20800000000000002,1,size
0.21600000000000003,0,size
0.41600000000000004,1,size
0.42400000000000004,0,size
0.42400000000000004,1,size
0.42400000000000004,2,size
0.43200000000000005,1,size
0.44000000000000006,0,size
0.624,1,size
0.632,0,size
0.632,1,size
0.632,2,size
0.64,1,size
0.64,2,size
0.64,3,size
0.648,2,size
0.648,3,size
0.656,2,size
0.664,1,size
0.672,0,size
0.832,1,size
0.84,0,size
0.84,1,size
0.84,2,size
0.848,1,size
0.848,2,size
0.848,3,size
0.856,2,size
0.856,3,size
0.856,4,size
0.864,3,size
0.864,4,size
0.864,5,size
0.872,4,size
0.872,5,size
0.88,4,size
0.88,5,size
0.888,4,size
0.896,3,size
0.904,2,size
0.912,1,size
0.92,0,size
1.2640000000000002,1,size
1.2640000000000002,2,size
1.2640000000000002,3,size
1.2640000000000002,4,size
1.2640000000000002,5,size
1.2640000000000002,6,size
1.2640000000000002,7,size
1.2640000000000002,8,size
1.2720000000000002,7,size
1.2800000000000002,6,size
1.2880000000000003,5,size
1.2960000000000003,4,size
1.3040000000000003,3,size
1.3120000000000003,2,size
1.3200000000000003,1,size
1.3280000000000003,0,size
1.4720000000000004,1,size
1.4800000000000004,0,size
1.5040000000000004,1,size
1.5120000000000005,0,size
1.5120000000000005,1,size
1.5200000000000005,0,size
1.5200000000000005,1,size
1.5280000000000005,0,size
1.5280000000000005,1,size
1.5360000000000005,0,size
1.5360000000000005,1,size
1.5440000000000005,0,size
1.7200000000000006,1,size
1.7280000000000006,0,size
1.7280000000000006,1,size
1.7360000000000007,0,size
1.7360000000000007,1,size
1.7440000000000007,0,size
1.7440000000000007,1,size
1.7520000000000007,0,size
1.7520000000000007,1,size
1.7600000000000007,0,size
1.9360000000000008,1,size
1.9440000000000008,0,size
1.9440000000000008,1,size
1.9520000000000008,0,size
1.9520000000000008,1,size
1.9600000000000009,0,size
1.9600000000000009,1,size
1.9680000000000009,0,size
1.9680000000000009,1,size
1.9760000000000009,0,size
2.152000000000001,1,size
2.160000000000001,0,size
2.160000000000001,1,size
2.168000000000001,0,size
2.168000000000001,1,size
2.176000000000001,0,size
2.176000000000001,1,size
2.184000000000001,0,size
2.184000000000001,1,size
2.192000000000001,0,size
2.368000000000001,1,size
2.3760000000000012,0,size
2.3760000000000012,1,size
2.3840000000000012,0,size
2.3840000000000012,1,size
2.3920000000000012,0,size
2.3920000000000012,1,size
2.4000000000000012,0,size
2.4000000000000012,1,size
2.4080000000000013,0,size
2.5840000000000014,1,size
2.5920000000000014,0,size
2.5920000000000014,1,size
2.6000000000000014,0,size
2.6000000000000014,1,size
2.6080000000000014,0,size
2.6080000000000014,1,size
2.6160000000000014,0,size
2.6160000000000014,1,size
2.6240000000000014,0,size
2.8000000000000016,1,size
2.8080000000000016,0,size
2.8080000000000016,1,size
2.8160000000000016,0,size
2.8160000000000016,1,size
2.8240000000000016,0,size
2.8240000000000016,1,size
2.8320000000000016,0,size
2.8320000000000016,1,size
2.8400000000000016,0,size
